40;30;35;41;34;46
59;18;42;17;42;49
23;48;58;35;17;51
8;7;36;37;6;67
8;12;22;25;52;9
52;40;10;4;39;23
45;11;44;7;48;33
42;13;56;55;70;35
48;64;21;61;21;39
43;35;53;68;61;13
51;6;4;22;64;4
11;62;11;30;48;22
65;65;14;22;56;55
22;31;9;3;25;70
44;51;25;2;13;84
50;59;3;8;65;74
66;18;38;33;4;21
58;25;13;65;8;51
38;30;45;46;70;90
60;45;69;43;5;33
62;64;40;48;34;20
2;66;34;14;51;87
32;17;14;43;57;14
28;19;16;62;63;69
66;39;11;7;27;85
39;68;1;51;18;62
66;15;52;23;51;84
5;43;35;36;25;51
52;43;4;24;22;40
48;54;53;66;69;71
32;18;3;65;16;66
14;6;22;62;52;81
56;48;4;33;24;11
55;69;15;68;20;78
48;57;64;69;42;89
66;23;56;48;9;38
65;30;39;32;42;28
14;47;22;66;6;73
43;26;54;38;43;70
57;22;10;2;47;45
59;11;30;62;29;84
51;46;51;2;12;5
49;70;65;61;65;62
22;59;56;45;70;4
48;31;25;29;52;29
59;48;62;49;51;59
25;51;1;33;9;90
14;70;13;27;52;95
26;13;1;59;36;69
65;64;54;29;66;64
51;15;14;68;20;72
69;50;39;48;16;55
41;63;55;24;51;1
35;23;34;18;1;13
56;16;45;41;17;76
5;17;51;38;51;19
34;46;64;5;7;87
32;40;55;67;57;39
36;33;52;28;59;61
60;64;9;60;44;3
58;5;11;38;19;20
32;69;45;56;70;39
35;52;40;59;29;7
37;1;20;51;55;68
41;38;56;44;62;78
24;21;22;26;42;90
53;47;63;27;34;47
34;50;44;50;52;95
45;60;34;15;23;41
37;1;44;25;68;10
29;8;12;30;18;60
34;51;64;41;66;65
14;19;51;63;48;9
34;49;53;46;55;10
67;25;10;23;42;72
39;64;24;42;34;83
63;67;62;44;68;47
25;33;35;62;50;16
64;45;4;8;48;66
2;69;4;5;49;84
56;36;34;12;34;18
51;18;39;11;46;71
65;11;25;63;41;5
9;31;50;5;2;74
16;21;14;6;6;10
65;35;27;55;65;58
16;9;26;49;53;57
42;36;37;3;57;71
37;21;44;69;66;17
34;24;29;69;5;54
59;8;67;29;41;29
54;68;15;3;49;99
59;45;23;16;60;48
54;66;70;12;70;20
21;64;10;70;44;32
51;35;35;69;62;86
28;26;42;31;61;53
63;21;13;16;56;87
44;11;50;16;69;19
28;61;25;62;54;96
43;43;48;29;38;22
1;25;20;64;68;97
33;70;53;37;30;24
23;15;15;13;49;27
40;12;16;33;68;40
17;19;62;43;67;71
61;61;67;62;65;8
52;16;29;15;26;32
32;30;42;48;14;70
52;6;53;35;67;84
70;69;6;46;50;63
